类型,模型权重/数据集,大小,备注,使用测试脚本(相对test/registered/npu)
模型,vllm-ascend/DeepSeek-R1-0528-W8A8,701.69 GB,172 files,basic_function/HiCache/test_npu_hierarchical_cache_mla.py | basic_function/parallel_strategy/data_parallelism/test_npu_load_balance_method.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep.py | basic_function/speculative_inference/test_npu_speculative_moe_a2a_backend.py
模型,vllm-ascend/DeepSeek-V3.2-W8A8,694.47 GB,175 files,basic_function/cp/test_npu_cp_vs_nocp_ttft.py | basic_function/optimization_debug_options/test_npu_enable_return_routed_experts.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_deepseek_v3_2_w8a8.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_deepseek_v3_2_w8a8.py | llm_models/test_npu_deepseek_v32_indexcache.py | llm_models/test_npu_deepseek_v3_2_w8a8.py
模型,Kimi/Kimi-K2-Thinking,594.26 GB,via HF: moonshotai/Kimi-K2-Thinking,llm_models/test_npu_kimi_k2_thinking.py
模型,Eco-Tech/Kimi-K2.6-w4a8,535.91 GB,147 files,accuracy/kimi_k2_6/test_npu_kimi_k2_6_w4a8_16p_in64k_out1k_100ms_aime25.py | basic_function/optimization_debug_options/test_npu_full_decode_graph_gsm8k.py
模型,Qwen/Qwen3-VL-235B-A22B-Instruct,471.35 GB,109 files,vlm_models/test_npu_qwen3_vl_235b_a22b_instruct.py
模型,cyankiwi/MiniMax-M2-BF16,457.51 GB,156 files,llm_models/test_npu_minimax_m2_bf16.py
模型,yzgjhdxf/GLM-5-top64-pruned-gsm8k,420.41 GB,303 files,accuracy/glm5_top64_pruned/test_npu_glm5_top64_pruned_bf16_8p_gsm8k.py
模型,Eco-Tech/GLM-5.1-w4a8,420.17 GB,112 files,accuracy/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_50ms_aime26.py | performance/glm5_1/test_npu_glm5_1_w4a8_16p_in3k5_out1k5_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in128k_out1k_20ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in16k_out1k_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_20ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in65k_out1k5_prefix90_25ms.py
模型,Eco-Tech/DeepSeek-V4-Flash-0731-w8a8,313.45 GB,84 files,performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in8k_out1k_50ms.py
模型,Eco-Tech/DeepSeek-V4-Flash-w8a8-mtp,300.1 GB,82 files,accuracy/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_gpqa.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_1p1d_16p_in8k_out1k_50ms.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in32k_out1k_50ms.py
模型,vllm-ascend/Qwen3-235B-A22B-W8A8,236.8 GB,66 files,basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_qwen3_235b_a22b_w8a8.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_qwen3_235b_a22b_w8a8.py | llm_models/test_npu_qwen3_235b_a22b_w8a8.py
模型,Eco-Tech/Qwen3.5-397B-A17B-w4a8-mtp,235.88 GB,70 files,accuracy/qwen3_5_397b/test_npu_qwen3_5_397b_8p_aime26.py | accuracy/qwen3_5_397b/test_npu_qwen3_5_397b_8p_gpqa.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_prefix90_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_prefix90_50ms.py
模型,Eco-Tech/MiniMax-M2.5-w8a8-QuaRot,230.82 GB,72 files,accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_4p_in64k_out1k_prefix90_50ms_gpqa.py | accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_8p_in3k5_out1k5_50ms_gpqa.py
